callDateTime,priority,district,description,callNumber,incidentLocation
02/14/2016 11:50:00 AM,Medium,ND,FAMILY DISTURB,P160450952,2400 LOYOLA NORTHWAY
03/03/2016 09:34:00 PM,Medium,WD,FAMILY DISTURB,P160632974,200 N WOODYEAR ST
03/03/2016 09:40:00 PM,Medium,CD,FAMILY DISTURB,P160632986,1400 MADISON AV
03/03/2016 09:55:00 PM,Medium,WD,FAMILY DISTURB,P160633029,1800 W LAFAYETTE AV
03/03/2016 09:54:00 PM,Medium,NE,FAMILY DISTURB,P160633025,4900 HARFORD RD
03/03/2016 09:59:00 PM,Medium,SW,FAMILY DISTURB,P160633045,700 LINNARD ST
03/03/2016 10:14:00 PM,Medium,SW,FAMILY DISTURB,P160633074,4900 CLIFTON AV
03/03/2016 10:14:00 PM,Medium,NE,FAMILY DISTURB,P160633080,1000 HIGNET WY
03/03/2016 10:46:00 PM,Medium,NE,FAMILY DISTURB,P160633129,5400 BLK BELLE VISTA AV
03/03/2016 10:47:00 PM,Medium,WD,FAMILY DISTURB,P160633139,200 N MOUNT ST
03/03/2016 11:12:00 PM,Medium,NE,FAMILY DISTURB,P160633177,2900 SHIREY AV
03/03/2016 11:16:00 PM,Medium,NE,FAMILY DISTURB,P160633190,1400 E NORTHERN PY
03/03/2016 11:53:00 PM,Medium,SW,FAMILY DISTURB,P160633263,1900 HOLLINS ST
03/03/2016 11:34:00 PM,Medium,SE,FAMILY DISTURB,P160633222,400 ELRINO ST
02/14/2016 12:08:00 PM,Medium,NE,FAMILY DISTURB,P160450995,5400 HILLTOP AV
03/04/2016 12:37:00 AM,Medium,ED,FAMILY DISTURB,P160640060,2700 E FEDERAL ST
03/04/2016 12:01:00 AM,Medium,SD,FAMILY DISTURB,P160640009,900 HERNDON CT
03/04/2016 03:43:00 AM,Medium,NE,FAMILY DISTURB,P160640297,3400 CARDENAS AV
03/04/2016 03:17:00 AM,Medium,NE,FAMILY DISTURB,P160640277,4100 ORCHARD RIDGE BL
03/04/2016 02:13:00 AM,Medium,SE,FAMILY DISTURB,P160640215,200 N MILTON AV
03/04/2016 04:55:00 AM,Medium,SD,FAMILY DISTURB,P160640342,2200 ROUND RD
03/04/2016 06:56:00 AM,Medium,NW,FAMILY DISTURB,P160640424,3400 OAKFIELD AV
03/04/2016 06:38:00 AM,Medium,CD,FAMILY DISTURB,P160640421,100 E MADISON ST
03/04/2016 07:00:00 AM,Medium,ND,FAMILY DISTURB,P160640431,3700 FALLS RD
03/04/2016 07:46:00 AM,Medium,NW,FAMILY DISTURB,P160640492,3600 ELDORADO AV
03/04/2016 07:25:00 AM,Medium,WD,FAMILY DISTURB,P160640456,1700 MOUNTMOR CT
03/04/2016 08:15:00 AM,Medium,NW,FAMILY DISTURB,P160640559,3600 ELDORADO AV
03/04/2016 08:09:00 AM,Medium,WD,FAMILY DISTURB,P160640542,1500 APPLETON ST
03/04/2016 08:21:00 AM,Medium,ND,FAMILY DISTURB,P160640572,400 E NORTHERN PY
03/04/2016 08:55:00 AM,Medium,SD,FAMILY DISTURB,P160640654,2200 ROUND RD
03/04/2016 08:56:00 AM,Medium,SD,FAMILY DISTURB,P160640653,2200 ROUND RD
03/04/2016 10:36:00 AM,Medium,SD,FAMILY DISTURB,P160640918,2200 ROUND RD
