callDateTime,priority,district,description,callNumber,incidentLocation,location
11/30/2017 04:44:00 PM,Medium,SE,BEHAVIOR CRISIS,P173341796,400 N MONTFORD AV,"400 N MONTFORD AV
BALTIMORE, MD
(39.296018, -76.583541)"
11/30/2017 04:24:00 PM,Medium,WD,BEHAVIOR CRISIS,P173341729,2500 CALVERTON HEIGHTS AV,"2500 CALVERTON HEIGHTS AV
BALTIMORE, MD
(39.29759, -76.65664)"
11/30/2017 03:35:00 PM,Medium,SW,BEHAVIOR CRISIS,P173341600,2700 FREDERICK AV,"2700 FREDERICK AV
BALTIMORE, MD
(39.280999, -76.65959)"
11/30/2017 03:25:00 PM,Medium,CD,BEHAVIOR CRISIS,P173341571,2400 LINDEN AV,"2400 LINDEN AV
BALTIMORE, MD
(39.313985, -76.635747)"
11/30/2017 02:17:00 PM,Medium,CD,BEHAVIOR CRISIS,P173341380,700 W PRATT ST,"700 W PRATT ST
BALTIMORE, MD
(39.286097, -76.626283)"
11/30/2017 12:09:00 PM,Medium,ND,BEHAVIOR CRISIS,P173341028,900 W 36TH ST,"900 W 36TH ST
BALTIMORE, MD
(39.331138, -76.63165)"
11/30/2017 11:40:00 AM,Medium,SD,BEHAVIOR CRISIS,P173340957,400 CAMBRIA ST,"400 CAMBRIA ST
BALTIMORE, MD
(39.236607, -76.605338)"
11/30/2017 10:39:00 AM,Medium,SE,BEHAVIOR CRISIS,P173340790,200 N WASHINGTON ST,"200 N WASHINGTON ST
BALTIMORE, MD
(39.294603, -76.589345)"
11/30/2017 09:52:00 AM,Medium,CD,BEHAVIOR CRISIS,P173340682,0 W FRANKLIN ST,"0 W FRANKLIN ST
BALTIMORE, MD
"
11/30/2017 07:56:00 AM,Medium,NE,BEHAVIOR CRISIS,P173340413,1600 MONTPELIER ST,"1600 MONTPELIER ST
BALTIMORE, MD
(39.32065, -76.596588)"
11/30/2017 07:28:00 AM,Medium,NE,BEHAVIOR CRISIS,P173340369,1600 MONTPELIER ST,"1600 MONTPELIER ST
BALTIMORE, MD
(39.32065, -76.596588)"
11/30/2017 07:11:00 AM,Medium,NE,BEHAVIOR CRISIS,P173340344,1600 MONTPELIER ST,"1600 MONTPELIER ST
BALTIMORE, MD
(39.32065, -76.596588)"
11/29/2017 11:04:00 PM,Medium,ND,BEHAVIOR CRISIS,P173332644,5700 WOODCREST AV,"5700 WOODCREST AV
BALTIMORE, MD
(39.358163, -76.676926)"
11/29/2017 08:53:00 PM,Medium,NE,BEHAVIOR CRISIS,P173332326,1800 SHERWOOD AV,"1800 SHERWOOD AV
BALTIMORE, MD
(39.359463, -76.579927)"
11/29/2017 03:52:00 PM,Medium,SE,BEHAVIOR CRISIS,P173331463,400 N MONTFORD AV,"400 N MONTFORD AV
BALTIMORE, MD
(39.296018, -76.583541)"
11/29/2017 03:42:00 PM,Medium,ND,BEHAVIOR CRISIS,P173331433,600 E 38TH ST,"600 E 38TH ST
BALTIMORE, MD
(39.33557, -76.607099)"
11/29/2017 04:38:00 PM,Medium,SD,BEHAVIOR CRISIS,P173331611,800 W LOMBARD ST,"800 W LOMBARD ST
BALTIMORE, MD
(39.287, -76.628565)"
11/29/2017 04:08:00 PM,Medium,SD,BEHAVIOR CRISIS,P173331513,200 JACK ST,"200 JACK ST
BALTIMORE, MD
(39.233925, -76.610015)"
11/29/2017 02:44:00 PM,Medium,SE,BEHAVIOR CRISIS,P173331269,900 E LOMBARD ST,"900 E LOMBARD ST
BALTIMORE, MD
(39.288959, -76.602993)"
11/29/2017 01:27:00 PM,Medium,SW,BEHAVIOR CRISIS,P173331077,3700 OLD FREDERICK RD,"3700 OLD FREDERICK RD
BALTIMORE, MD
(39.283467, -76.677613)"
11/29/2017 12:04:00 PM,Medium,SW,BEHAVIOR CRISIS,P173330925,600 S CHAPELGATE LN,"600 S CHAPELGATE LN
BALTIMORE, MD
(39.276334, -76.701529)"
11/29/2017 12:06:00 PM,Medium,ED,BEHAVIOR CRISIS,P173330924,2100 ASHLAND AV,"2100 ASHLAND AV
BALTIMORE, MD
(39.300776, -76.587549)"
11/29/2017 11:39:00 AM,Medium,SE,BEHAVIOR CRISIS,P173330864,5500 E LOMBARD ST,"5500 E LOMBARD ST
BALTIMORE, MD
(39.293464, -76.550284)"
