CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/30/2017,1F,2900 HARVIEW AV,HOMICIDE,FIREARM,NORTHEASTERN,North Harford Road
9/29/2017,1F,1100 MYRTLE AV,HOMICIDE,FIREARM,CENTRAL,Upton
9/27/2017,1F,2300 W LAFAYETTE AV,HOMICIDE,FIREARM,WESTERN,Bridgeview/Greenlawn
9/26/2017,1F,3200 LYNDALE AV,HOMICIDE,FIREARM,NORTHEASTERN,Four By Four
9/26/2017,1F,3200 LYNDALE AV,HOMICIDE,FIREARM,NORTHEASTERN,Four By Four
9/26/2017,1F,700 NEWINGTON AV,HOMICIDE,FIREARM,CENTRAL,Reservoir Hill
9/25/2017,1F,2400 BARCLAY ST,HOMICIDE,FIREARM,EASTERN,Barclay
9/25/2017,1F,1100 E 20TH ST,HOMICIDE,FIREARM,EASTERN,East Baltimore Midway
9/25/2017,1F,6100 SHIPVIEW WY,HOMICIDE,FIREARM,SOUTHEASTERN,O'Donnell Heights
9/23/2017,1F,2400 ETTING ST,HOMICIDE,FIREARM,WESTERN,Penn North
9/23/2017,1F,1900 GRIFFIS AV,HOMICIDE,FIREARM,SOUTHWESTERN,Morrell Park
9/23/2017,1F,500 N CURLEY ST,HOMICIDE,FIREARM,SOUTHEASTERN,Ellwood Park/Monument
9/22/2017,1F,4300 REISTERSTOWN RD,HOMICIDE,FIREARM,NORTHWESTERN,Towanda-Grantley
9/21/2017,1F,1400 DARLEY AV,HOMICIDE,FIREARM,EASTERN,Darley Park
9/20/2017,1F,1900 MARYLAND AV,HOMICIDE,FIREARM,CENTRAL,Charles North
9/19/2017,1F,200 N BOND ST,HOMICIDE,FIREARM,SOUTHEASTERN,Dunbar-Broadway
9/18/2017,1F,0 N VINCENT ST,HOMICIDE,FIREARM,WESTERN,Franklin Square
9/17/2017,1F,1400 N MOUNT ST,HOMICIDE,FIREARM,WESTERN,Sandtown-Winchester
9/16/2017,1F,2700 BOARMAN AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
9/13/2017,1O,0 MARKET PL,HOMICIDE,OTHER,CENTRAL,Downtown
9/13/2017,1K,600 POPLAR GROVE ST,HOMICIDE,KNIFE,SOUTHWESTERN,Franklintown Road
9/11/2017,1F,300 S FULTON AV,HOMICIDE,FIREARM,SOUTHERN,Carrollton Ridge
9/8/2017,1F,3200 SPAULDING AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
9/6/2017,1F,4200 AUDREY AV,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
9/5/2017,1F,2300 E FEDERAL ST,HOMICIDE,FIREARM,EASTERN,Broadway East
