CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/30/2017,6J,400 W SARATOGA ST,LARCENY,,CENTRAL,Downtown
9/30/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/30/2017,6J,2300 E FAIRMOUNT AVE,LARCENY,,SOUTHEASTERN,Patterson Place
9/30/2017,6E,300 MOSHER ST,LARCENY,,CENTRAL,Bolton Hill
9/30/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/30/2017,6J,5900 THEODORE AVE,LARCENY,,NORTHEASTERN,Glenham-Belhar
9/30/2017,6C,100 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/30/2017,6G,1500 KINGSWAY RD,LARCENY,,NORTHEASTERN,Hillen
9/30/2017,6J,1600 GOUGH ST,LARCENY,,SOUTHEASTERN,Fells Point
9/30/2017,6J,3900 YOLANDO RD,LARCENY,,NORTHEASTERN,Ednor Gardens-Lakeside
9/30/2017,6C,200 W CHASE ST,LARCENY,,CENTRAL,Mid-Town Belvedere
9/30/2017,6G,1500 RUSSELL ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/30/2017,6G,AV & E 25TH ST,LARCENY,,NORTHERN,Better Waverly
9/30/2017,6J,900 MILLINGTON AVE,LARCENY,,SOUTHWESTERN,Millhill
9/30/2017,6J,700 BERRY ST,LARCENY,,NORTHERN,Hampden
9/30/2017,6E,600 E 37TH ST,LARCENY,,NORTHERN,Waverly
9/30/2017,6C,3700 FLEET ST,LARCENY,,SOUTHEASTERN,Brewers Hill
9/29/2017,6E,UNIVERSITY PY & ST PAUL ST,LARCENY,,NORTHERN,Guilford
9/29/2017,6C,3400 BELAIR RD,LARCENY,,NORTHEASTERN,Belair-Edison
9/29/2017,6E,2200 N ROSEDALE ST,LARCENY,,SOUTHWESTERN,Walbrook
9/29/2017,6F,2500 LINDEN AVE,LARCENY,,CENTRAL,Reservoir Hill
9/29/2017,6E,5900 BANK ST,LARCENY,,SOUTHEASTERN,Hopkins Bayview
9/29/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/29/2017,6C,5600 THE ALAMEDA,LARCENY,,NORTHERN,Glen Oaks
9/29/2017,6G,5100 SINCLAIR LN,LARCENY,,NORTHEASTERN,Frankford
9/29/2017,6E,1800 ASHBURTON ST,LARCENY,,WESTERN,Coppin Heights/Ash-Co-Eas
9/29/2017,6C,2700 LIGHTHOUSE PT E,LARCENY,,SOUTHEASTERN,Canton
9/29/2017,6E,1800 W FRANKLIN ST,LARCENY,,WESTERN,Harlem Park
9/29/2017,6J,5700 NARCISSUS AVE,LARCENY,,NORTHWESTERN,Glen
9/29/2017,6J,400 E OLIVER ST,LARCENY,,EASTERN,Greenmount West
9/29/2017,6E,300 N ROBINSON ST,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument
9/29/2017,6J,2400 LAURETTA AVE,LARCENY,,WESTERN,Rosemont Homeowners/Tenan
9/29/2017,6C,100 S BROADWAY,LARCENY,,SOUTHEASTERN,Washington Hill
9/29/2017,6G,1600 ROUNDHILL RD,LARCENY,,NORTHEASTERN,Hillen
9/28/2017,6C,0 N CALVERT ST,LARCENY,,CENTRAL,Downtown
9/28/2017,6J,ST & E CONWAY ST,LARCENY,,CENTRAL,Inner Harbor
